Book,Chapter,Verse,Text
John,1,35,"Die volgende dag het Johannes weer daar gestaan, en twee van sy dissipels saam met hom,"
John,1,36,"en toe hy Jesus sien wandel, sê hy: ""Kyk, die Lam van God!"""
John,1,37,En die twee dissipels het hom dit hoor sê en het Jesus gevolg.
John,1,38,"En Jesus het omgedraai en hulle sien volg, en sê vir hulle: ""Wat soek julle?"" En hulle sê vir Hom: ""Rabbi"" — wat in vertaling Leermeester beteken — ""waar bly U?"""
John,1,39,"Hy sê vir hulle: ""Kom en sien."" Hulle het toe gegaan en gesien waar Hy bly, en het daardie dag by Hom gebly. Dit was omtrent die tiende uur."
John,1,40,"Een van die twee wat Johannes gehoor het en Hom gevolg het, was Andreas, die broer van Simon Petrus."
John,1,41,"Hy het eers sy eie broer Simon gevind en vir hom gesê: ""Ons het die Messias gevind"" — wat in vertaling Christus beteken."
John,1,42,"Hy het hom na Jesus gebring. Jesus het hom aangekyk en gesê: ""Jy is Simon, die seun van Johannes; jy sal Kefas genoem word"" — wat in vertaling Petrus beteken."
John,1,43,"Die volgende dag wou Hy na Galilea uitgaan, en Hy het Filippus gevind. En Jesus sê vir hom: ""Volg My!"""
John,1,44,"Filippus was van Betsaida, uit die stad van Andreas en Petrus."
John,1,45,"Filippus het Natanael gevind en vir hom gesê: ""Ons het Hom gevind oor wie Moses in die wet en die profete geskryf het — Jesus, die seun van Josef, van Nasaret."""
John,1,46,"En Natanael het vir hom gesê: ""Kan daar iets goeds uit Nasaret kom?"" Filippus sê vir hom: ""Kom kyk."""
John,1,47,"Jesus het Natanael na Hom toe sien kom en oor hom gesê: ""Kyk, hier is werklik 'n Israeliet in wie daar geen bedrog is nie!"""
John,1,48,"Natanael sê vir Hom: ""Waarvandaan ken U my?"" Jesus het geantwoord en vir hom gesê: ""Voordat Filippus jou geroep het, toe jy onder die vyeboom was, het Ek jou gesien."""
John,1,49,"Natanael het Hom geantwoord: ""Rabbi, U is die Seun van God; U is die Koning van Israel!"""
John,1,50,"Jesus het geantwoord en vir hom gesê: ""Glo jy omdat Ek vir jou gesê het: 'Ek het jou onder die vyeboom gesien'? Jy sal groter dinge as hierdie sien."""
John,1,51,"En Hy sê vir hom: ""Voorwaar, voorwaar, Ek sê vir julle, julle sal die hemel geopen sien en die engele van God opklim en neerdaal op die Seun van die mens."""
John,2,1,"En op die derde dag was daar 'n bruilof in Kana van Galilea, en die moeder van Jesus was daar."
John,2,2,En Jesus en sy dissipels is ook na die bruilof genooi.
John,2,3,"En toe die wyn opraak, sê die moeder van Jesus vir Hom: ""Hulle het nie wyn nie."""
John,2,4,"En Jesus sê vir haar: ""Vrou, wat het Ek met u te doen? My uur het nog nie gekom nie."""
John,2,5,"Sy moeder sê vir die bediendes: ""Wat Hy ook al vir julle sê, doen dit."""
John,2,6,"En daar het ses klipwaterkruike gestaan, soos die reinigingsgebruik van die Jode vereis, elk met 'n inhoud van twee of drie metrete."
John,2,7,"Jesus sê vir hulle: ""Maak die kruike vol water."" En hulle het hulle tot bo toe volgemaak."
John,2,8,"En Hy sê vir hulle: ""Skep nou uit en bring dit vir die seremoniemeester."" En hulle het dit gebring."
John,2,9,"En toe die seremoniemeester die water proe wat wyn geword het — en hy het nie geweet waarvandaan dit was nie, maar die bediendes wat die water geskep het, het geweet — roep die seremoniemeester die bruidegom"
John,2,10,"en sê vir hom: ""Elke mens sit eers die goeie wyn voor, en wanneer die mense dronk geword het, dan die mindere; maar jy het die goeie wyn tot nou toe bewaar."""
John,2,11,"Hierdie eerste van die tekens het Jesus in Kana van Galilea gedoen, en Hy het sy heerlikheid geopenbaar; en sy dissipels het in Hom geglo."
John,2,12,"Daarna het Hy na Kapernaum afgegaan, Hy en sy moeder en sy broers en sy dissipels, en hulle het daar 'n paar dae gebly."
John,2,13,"En die Pasga van die Jode was naby, en Jesus het na Jerusalem opgegaan."
John,2,14,"En in die tempel het Hy die mense gevind wat beeste en skape en duiwe verkoop, en die geldwisselaars wat daar sit."
John,2,15,"En Hy het 'n sweep van toue gemaak en almal uit die tempel uitgedryf, met die skape en die beeste; en die geld van die wisselaars het Hy uitgegooi en die tafels omgekeer."
John,2,16,"En vir die mense wat die duiwe verkoop, het Hy gesê: ""Vat hierdie dinge hier weg; moenie die huis van my Vader 'n handelshuis maak nie."""
John,2,17,"Sy dissipels het onthou dat daar geskrywe staan: ""Die ywer vir u huis sal My verteer."""
John,2,18,"Toe antwoord die Jode en sê vir Hom: ""Watter teken toon U aan ons, dat U hierdie dinge doen?"""
John,2,19,"Jesus antwoord en sê vir hulle: ""Breek hierdie tempel af, en in drie dae sal Ek dit oprig."""
John,2,20,"Toe sê die Jode: ""Ses-en-veertig jaar lank is aan hierdie tempel gebou, en U sal dit in drie dae oprig?"""
John,2,21,Maar Hy het oor die tempel van sy liggaam gepraat.
John,2,22,"Toe Hy dan uit die dode opgewek is, het sy dissipels onthou dat Hy dit gesê het; en hulle het die Skrif geglo en die woord wat Jesus gespreek het."
John,2,23,"En terwyl Hy in Jerusalem was op die Pasga, tydens die fees, het baie in sy Naam geglo toe hulle die tekens sien wat Hy gedoen het."
John,2,24,"Maar Jesus self het Hom nie aan hulle toevertrou nie, omdat Hy almal geken het,"
John,2,25,"en omdat Hy nie nodig gehad het dat iemand oor die mens getuig nie, want Hy self het geweet wat in die mens is."
